Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos trimestre anterior,KPI
2016,1,Entre Ríos,43.8459681446623,44.11,-0.6
2016,2,Entre Ríos,44.7388745451874,43.85,2.04
2016,3,Entre Ríos,45.4351408844733,44.74,1.56
2016,4,Entre Ríos,45.208402854677,45.44,-0.5
2017,1,Entre Ríos,44.9072736870412,45.21,-0.67
2017,2,Entre Ríos,45.3893310282472,44.91,1.07
2017,3,Entre Ríos,45.9581216701772,45.39,1.25
2017,4,Entre Ríos,47.8852452937468,45.96,4.19
2018,1,Entre Ríos,48.6812024178572,47.89,1.66
2018,2,Entre Ríos,49.2026118705284,48.68,1.07
2018,3,Entre Ríos,50.2220138583775,49.2,2.07
2018,4,Entre Ríos,54.3747734863994,50.22,8.27
2019,1,Entre Ríos,56.7881599616928,54.37,4.44
2019,2,Entre Ríos,57.4782345887239,56.79,1.22
2019,3,Entre Ríos,57.9000994579662,57.48,0.73
2019,4,Entre Ríos,57.9922169170451,57.9,0.16
2020,1,Entre Ríos,56.1200605143722,57.99,-3.23
2020,2,Entre Ríos,56.5386547397096,56.12,0.75
2020,3,Entre Ríos,58.1901640924315,56.54,2.92
2020,4,Entre Ríos,59.4743067609738,58.19,2.21
2021,1,Entre Ríos,60.4394497283423,59.47,1.62
2021,2,Entre Ríos,61.6602644647879,60.44,2.02
2021,3,Entre Ríos,62.1794014538577,61.66,0.84
2021,4,Entre Ríos,63.1553614361658,62.18,1.57
2022,1,Entre Ríos,63.7009034712316,63.16,0.86
2022,2,Entre Ríos,63.9,63.7,0.31
2022,3,Entre Ríos,63.67,63.9,-0.36
2022,4,Entre Ríos,64.01,63.67,0.53
2023,1,Entre Ríos,64.79,64.01,1.22
2023,2,Entre Ríos,64.43,64.79,-0.56
2023,3,Entre Ríos,68.84,64.43,6.84
2023,4,Entre Ríos,69.94,68.84,1.6
2024,1,Entre Ríos,69.31,69.94,-0.9
2024,2,Entre Ríos,68.64,69.31,-0.97
2014,1,Formosa,17.4184510793687,,0.0
2014,2,Formosa,17.5404117548517,17.42,0.7
2014,3,Formosa,17.7713148314683,17.54,1.32
2014,4,Formosa,17.9563113616952,17.77,1.04
2015,1,Formosa,18.1227036739718,17.96,0.93
2015,2,Formosa,18.3602672052786,18.12,1.31
2015,3,Formosa,18.8367517737853,18.36,2.6
2015,4,Formosa,19.0654915167863,18.84,1.21
2016,1,Formosa,19.0418783694349,19.07,-0.12
2016,2,Formosa,19.370070664564,19.04,1.72
2016,3,Formosa,18.6397083028628,19.37,-3.77
2016,4,Formosa,19.8482360781639,18.64,6.48
2017,1,Formosa,19.8424891786459,19.85,-0.03
2017,2,Formosa,19.965076445262,19.84,0.62
2017,3,Formosa,21.3503843800708,19.97,6.94
2017,4,Formosa,21.2709766892497,21.35,-0.37
2018,1,Formosa,21.4043102592114,21.27,0.63
2018,2,Formosa,29.434226520797,21.4,37.52
2018,3,Formosa,29.5765734288784,29.43,0.48
2018,4,Formosa,29.73653915732,29.58,0.54
2019,1,Formosa,29.6776946304319,29.74,-0.2
2019,2,Formosa,30.4182360069433,29.68,2.5
2019,3,Formosa,30.1124329977775,30.42,-1.01
2019,4,Formosa,30.471313480544,30.11,1.19
2020,1,Formosa,30.2283039626068,30.47,-0.8
2020,2,Formosa,31.1394362262631,30.23,3.01
2020,3,Formosa,31.9056233101865,31.14,2.46
2020,4,Formosa,32.4873819075967,31.91,1.82
2021,1,Formosa,32.7329557563272,32.49,0.76
2021,2,Formosa,33.2254841932261,32.73,1.5
2021,3,Formosa,33.9620335406843,33.23,2.22
2021,4,Formosa,34.4545746388443,33.96,1.45
2022,1,Formosa,34.9556869957513,34.45,1.45
2022,2,Formosa,43.42,34.96,24.21
2022,3,Formosa,43.76,43.42,0.78
2022,4,Formosa,39.41,43.76,-9.94
2023,1,Formosa,38.79,39.41,-1.57
2023,2,Formosa,38.32,38.79,-1.21
2023,3,Formosa,38.86,38.32,1.41
2023,4,Formosa,39.23,38.86,0.95
2024,1,Formosa,39.61,39.23,0.97
2024,2,Formosa,39.69,39.61,0.2
2014,1,Jujuy,18.4153524468777,,0.0
2014,2,Jujuy,18.7060609994136,18.42,1.58
2014,3,Jujuy,18.3685342155704,18.71,-1.8
2014,4,Jujuy,19.5994181805212,18.37,6.7
2015,1,Jujuy,19.6897136326236,19.6,0.46
2015,2,Jujuy,20.2872190775949,19.69,3.03
2015,3,Jujuy,21.2703333470887,20.29,4.85
2015,4,Jujuy,21.4714737939107,21.27,0.95
2016,1,Jujuy,21.410011288564,21.47,-0.29
2016,2,Jujuy,21.8882810435767,21.41,2.23
2016,3,Jujuy,22.6051542652569,21.89,3.28
2016,4,Jujuy,22.6513870082414,22.61,0.2
2017,1,Jujuy,22.7569859622323,22.65,0.47
2017,2,Jujuy,22.4034158946241,22.76,-1.55
2017,3,Jujuy,22.6453629950826,22.4,1.08
2017,4,Jujuy,22.742083716267,22.65,0.43
2018,1,Jujuy,23.1212608756775,22.74,1.67
2018,2,Jujuy,23.4322027298545,23.12,1.34
2018,3,Jujuy,23.2637001371955,23.43,-0.72
2018,4,Jujuy,46.5322663913268,23.26,100.02
2019,1,Jujuy,46.4084387403666,46.53,-0.27
2019,2,Jujuy,44.511922790626,46.41,-4.09
2019,3,Jujuy,44.3224868429136,44.51,-0.43
2019,4,Jujuy,45.3775463317507,44.32,2.38
2020,1,Jujuy,46.6702306399878,45.38,2.85
2020,2,Jujuy,47.8878102278728,46.67,2.61
2020,3,Jujuy,54.0444192382091,47.89,12.86
2020,4,Jujuy,53.4565912339089,54.04,-1.09
2021,1,Jujuy,55.6324478962054,53.46,4.07
2021,2,Jujuy,56.1821570114677,55.63,0.99
2021,3,Jujuy,55.6892647441935,56.18,-0.88
2021,4,Jujuy,56.9210705148705,55.69,2.21
2022,1,Jujuy,58.0646286642678,56.92,2.01
2022,2,Jujuy,57.32,58.06,-1.28
2022,3,Jujuy,58.91,57.32,2.77
2022,4,Jujuy,58.46,58.91,-0.76
2023,1,Jujuy,58.2,58.46,-0.44
2023,2,Jujuy,57.78,58.2,-0.72
2023,3,Jujuy,57.61,57.78,-0.29
2023,4,Jujuy,57.78,57.61,0.3
2024,1,Jujuy,57.65,57.78,-0.22
2024,2,Jujuy,58.3,57.65,1.13
2014,1,La Pampa,48.425321038282,,0.0
2014,2,La Pampa,49.7075961603446,48.43,2.65
2014,3,La Pampa,55.7812017385042,49.71,12.22
2014,4,La Pampa,51.2731334522286,55.78,-8.08
2015,1,La Pampa,55.5080323273377,51.27,8.26
2015,2,La Pampa,56.7076652253,55.51,2.16
2015,3,La Pampa,57.9639597509152,56.71,2.22
2015,4,La Pampa,58.7563372001228,57.96,1.37
2016,1,La Pampa,57.8408686550453,58.76,-1.56
2016,2,La Pampa,60.4368602573793,57.84,4.49
2016,3,La Pampa,61.7317854365091,60.44,2.14
2016,4,La Pampa,63.016182768654,61.73,2.08
2017,1,La Pampa,62.6692810457516,63.02,-0.55
2017,2,La Pampa,63.4935264809968,62.67,1.32
